quarter,year,quarter_num,lon,lat,spatial_block_id,ndvi,ndbi,albedo,mndwi,dem,slope,sky_view_factor,building_height,building_fraction,roughness_length,temp_2m,dewpoint_2m,wind_speed_10m,solar_radiation,vapor_pressure_deficit,dist_to_coast,dist_to_water,dist_to_greenspace,lst_celsius
2023_Q1,2023,1,73.0332,19.43729,block_3_4,0.2791,-0.0001,0.1232,-0.4959,8.9,4.1,0.858,4.47,20.11,0.05,32.66,28.84,2.51,791.3,1.985,26.914,22.4,27.37,41.61
2023_Q1,2023,1,72.86007,19.15323,block_2_2,0.6732,-0.2007,0.1637,-0.5544,82.3,8.33,0.98,3.0,2.0,0.05,33.39,30.27,3.28,787.3,2.271,7.84,2.2,2.12,37.3
2023_Q1,2023,1,73.07694,19.5163,block_4_4,0.2057,-0.1051,0.1985,-0.4117,12.2,1.8,0.919,5.1,10.43,0.077,31.06,27.01,2.1,754.6,2.262,31.755,30.32,37.27,38.89
2023_Q1,2023,1,72.99363,19.29972,block_3_3,0.2533,-0.2015,0.1653,-0.4167,59.9,9.41,0.968,3.42,3.59,0.06,34.72,31.13,2.27,771.6,2.077,22.325,10.48,12.47,41.33
2023_Q1,2023,1,72.68196,18.91636,block_0_0,0.1343,-0.131,0.2058,0.4918,8.9,0.99,0.897,5.41,13.77,0.06,33.82,29.61,3.76,807.1,2.175,0.0,0.0,30.63,39.58
2023_Q1,2023,1,73.1374,19.46765,block_4_4,0.1504,-0.0961,0.1981,-0.4425,10.9,7.63,0.926,4.31,9.67,0.05,32.19,27.94,1.53,801.1,1.893,37.951,29.63,36.41,41.57
2023_Q1,2023,1,73.02658,19.18396,block_3_2,0.1068,0.0022,0.2085,-0.3616,27.0,5.82,0.797,10.65,27.14,0.1,32.94,29.32,1.94,820.8,2.11,25.42,10.8,12.88,43.31
2023_Q1,2023,1,73.03946,18.93481,block_3_0,0.2047,-0.0861,0.1594,-0.4181,14.1,1.85,0.821,10.38,23.58,0.108,33.84,28.76,1.57,748.9,1.983,25.988,9.33,11.04,42.79
2023_Q1,2023,1,72.6995,18.94273,block_0_0,0.2071,-0.1447,0.1863,0.474,13.9,9.51,0.928,4.6,9.34,0.05,36.05,32.03,3.04,773.9,2.318,0.0,0.0,28.08,41.32
2023_Q1,2023,1,72.86601,19.32606,block_2_3,0.133,-0.0481,0.1656,-0.4128,65.2,13.32,0.869,5.5,18.06,0.073,32.96,29.28,2.76,800.0,2.113,9.009,6.51,7.51,41.46
2023_Q1,2023,1,72.82489,18.86725,block_1_0,0.1836,-0.0486,0.1529,-0.4217,14.1,1.35,0.824,7.5,24.17,0.083,32.42,28.36,3.21,702.5,1.981,3.245,3.25,20.45,38.85
2023_Q1,2023,1,73.11216,19.0387,block_4_1,0.121,-0.0832,0.1702,-0.4202,11.5,2.75,0.972,3.0,3.2,0.052,34.46,30.52,1.85,815.9,2.174,33.949,13.73,16.54,43.25
2023_Q1,2023,1,72.96599,18.93349,block_3_0,0.238,0.022,0.1416,-0.4548,6.9,1.85,0.823,7.27,24.46,0.05,34.12,30.77,2.87,772.3,2.234,18.269,6.43,7.41,43.64
2023_Q1,2023,1,73.05842,19.14942,block_3_2,0.1702,-0.0196,0.204,-0.4398,11.0,0.98,0.927,5.97,8.94,0.071,34.1,29.58,2.52,751.7,2.057,28.655,14.45,17.44,42.77
2023_Q1,2023,1,72.86241,19.13027,block_2_2,0.5481,-0.1583,0.1786,-0.4479,59.0,6.33,0.895,4.93,14.29,0.05,34.33,30.09,2.96,745.8,2.319,8.014,2.79,2.86,38.61
2023_Q1,2023,1,72.75071,19.20733,block_1_2,0.1308,-0.0769,0.1456,0.5144,13.3,3.36,0.824,8.88,23.65,0.086,37.56,33.79,3.19,829.7,2.149,0.0,0.0,11.51,45.32
2023_Q1,2023,1,72.91985,19.03372,block_2_1,0.0763,-0.0131,0.1459,-0.4506,20.8,2.39,0.784,11.49,28.79,0.104,33.8,30.87,3.35,796.0,1.924,13.741,5.01,5.64,43.32
2023_Q1,2023,1,72.66627,18.85627,block_0_0,0.1839,-0.0623,0.1708,0.5012,13.6,11.03,0.914,3.0,12.14,0.051,34.14,30.2,3.02,742.5,2.075,0.0,0.0,34.72,40.01
2023_Q1,2023,1,73.06094,19.27363,block_3_3,0.1477,0.0046,0.2132,-0.448,14.9,3.97,0.835,5.47,23.24,0.062,33.88,29.59,1.85,854.3,2.281,29.31,14.04,16.93,44.43
2023_Q1,2023,1,72.95968,19.10114,block_3_1,0.2607,-0.1263,0.1305,-0.3992,43.4,3.69,0.899,3.0,14.45,0.05,30.83,27.26,3.73,828.6,1.848,18.135,8.48,9.97,39.19
2023_Q1,2023,1,73.025,19.30011,block_3_3,0.1742,-0.0659,0.1659,-0.4253,26.7,4.24,0.856,7.95,19.06,0.107,34.78,31.16,3.22,766.5,2.446,25.621,12.5,15.0,43.61
2023_Q1,2023,1,72.81648,18.91118,block_1_0,0.1105,0.0714,0.1487,-0.4236,21.8,1.94,0.766,15.95,29.84,0.183,34.2,29.43,3.97,823.0,2.246,2.501,2.5,18.01,43.27
2023_Q1,2023,1,73.13486,18.84317,block_4_0,0.2366,-0.101,0.1585,-0.4094,12.7,1.67,0.923,3.0,10.68,0.05,33.68,30.08,1.65,831.3,2.074,35.716,20.74,25.3,42.73
2023_Q1,2023,1,73.09478,19.01125,block_4_1,0.1455,-0.0017,0.202,-0.4613,13.4,3.37,0.893,7.26,13.68,0.078,34.76,30.38,2.54,756.5,2.129,32.037,11.87,14.21,43.03
2023_Q1,2023,1,73.03549,19.16051,block_3_2,0.1767,-0.1175,0.2119,-0.3746,19.8,1.66,0.936,4.09,8.27,0.05,34.29,30.1,2.15,746.5,2.375,26.282,12.29,14.74,40.66
2023_Q1,2023,1,72.73387,19.11573,block_1_2,0.1675,0.0257,0.1649,0.4576,14.4,2.5,0.849,6.2,20.86,0.053,31.52,26.83,4.03,782.6,2.009,0.0,0.0,15.81,38.21
2023_Q1,2023,1,72.87445,19.41404,block_2_3,0.1795,-0.0837,0.1551,-0.4115,13.0,3.91,0.843,6.46,21.71,0.065,33.73,31.4,3.15,696.8,2.167,10.172,10.17,14.88,40.95
2023_Q1,2023,1,72.65593,19.1041,block_0_1,0.1946,-0.0826,0.1494,0.6341,12.1,1.07,0.86,5.82,19.37,0.05,33.54,28.34,3.45,747.3,2.037,0.0,0.0,24.07,40.07
2023_Q1,2023,1,72.71302,19.21347,block_1_2,0.0893,0.0609,0.1878,0.4716,13.4,1.35,0.836,10.59,21.11,0.089,33.59,29.22,3.39,771.3,1.802,0.0,0.0,13.25,41.46
2023_Q1,2023,1,72.98623,19.25867,block_3_2,0.154,-0.0256,0.1785,-0.4075,117.2,11.46,0.888,3.0,16.11,0.05,31.36,27.43,1.8,744.0,1.816,21.419,7.76,9.08,39.87
2023_Q1,2023,1,73.01812,18.84895,block_3_0,0.3142,-0.1174,0.1588,-0.5449,10.9,3.29,0.888,4.75,15.39,0.067,33.97,29.82,2.38,805.8,1.904,23.477,14.77,17.84,42.1
2023_Q1,2023,1,73.13321,19.2025,block_4_2,0.2488,-0.2143,0.1694,-0.4337,8.6,2.25,0.98,3.0,2.0,0.069,33.82,30.2,1.58,805.3,2.068,36.675,19.32,23.52,41.73
2023_Q1,2023,1,72.80165,19.08044,block_1_1,0.1854,0.0338,0.145,-0.46,14.5,2.75,0.858,5.88,19.65,0.06,32.85,28.04,2.7,778.3,1.978,1.477,1.48,11.28,40.08
2023_Q1,2023,1,72.82472,19.13523,block_1_2,0.2135,0.008,0.1315,-0.3966,28.4,9.17,0.816,10.49,24.32,0.102,34.21,29.61,3.13,749.7,2.342,4.071,4.07,6.03,41.94
2023_Q1,2023,1,72.87592,18.90518,block_2_0,0.2534,-0.0424,0.1526,-0.4184,13.1,2.99,0.912,3.42,12.21,0.05,31.75,27.6,2.3,778.1,1.711,8.723,8.72,13.74,39.66
2023_Q1,2023,1,72.7312,19.39435,block_1_3,0.2454,-0.1201,0.1502,0.5031,13.1,3.48,0.877,3.54,17.58,0.05,33.37,28.55,3.44,742.3,2.153,0.0,0.0,12.72,38.8
2023_Q1,2023,1,72.70043,19.50872,block_0_4,0.1521,-0.077,0.1858,0.6163,16.2,1.91,0.924,4.38,10.01,0.05,33.07,28.61,3.5,793.4,2.058,0.0,0.0,25.42,39.54
2023_Q1,2023,1,72.8791,18.84926,block_2_0,0.2262,-0.0897,0.1551,-0.4081,10.1,4.39,0.883,10.03,14.2,0.085,35.58,32.29,2.69,797.9,2.305,8.88,8.88,18.77,43.36
2023_Q1,2023,1,72.75054,19.2643,block_1_2,0.208,-0.0853,0.1702,0.4482,14.5,2.54,0.864,7.01,18.25,0.104,32.15,28.49,3.23,841.6,1.856,0.0,0.0,6.53,38.71
2023_Q1,2023,1,72.97939,19.38075,block_3_3,0.1141,-0.0679,0.166,-0.4747,17.6,1.76,0.949,3.0,6.65,0.052,31.82,28.45,2.2,836.1,2.078,21.086,15.92,19.27,40.83
2023_Q1,2023,1,72.85918,19.03742,block_2_1,0.1215,0.0676,0.1615,-0.4225,10.6,2.69,0.748,12.47,33.93,0.141,33.24,29.01,2.21,743.0,2.127,7.381,7.38,11.37,42.46
2023_Q1,2023,1,73.06354,19.39774,block_3_3,0.1265,-0.0641,0.1974,-0.3605,12.3,1.38,0.866,5.19,18.64,0.058,35.57,30.37,2.19,792.8,2.129,29.975,20.88,25.48,44.82
2023_Q1,2023,1,72.99513,19.28651,block_3_3,0.2563,-0.0869,0.1873,-0.4324,65.9,6.16,0.949,3.0,6.72,0.05,34.56,30.67,2.09,814.8,2.083,22.441,9.77,11.59,42.23
2023_Q1,2023,1,72.7947,19.49923,block_1_4,0.2944,-0.1083,0.1448,-0.402,13.1,1.57,0.873,7.53,16.69,0.061,33.8,29.62,3.55,784.1,1.663,2.066,2.07,22.12,40.08
2023_Q1,2023,1,73.06333,19.53639,block_3_4,0.1449,-0.0404,0.1749,-0.4014,13.9,2.22,0.852,9.96,18.96,0.12,33.84,29.13,0.95,763.3,2.242,30.389,30.39,38.12,43.64
2023_Q1,2023,1,73.04912,18.86365,block_3_0,0.2743,-0.1319,0.2011,-0.5016,14.4,1.94,0.887,6.34,14.94,0.054,34.42,31.66,2.44,769.8,2.288,26.778,14.73,17.79,42.44
2023_Q1,2023,1,72.83351,19.15219,block_2_2,0.2353,0.0626,0.1604,-0.474,36.2,3.99,0.769,12.09,30.9,0.119,33.49,28.65,3.82,740.1,2.035,5.048,4.41,4.89,41.06
2023_Q1,2023,1,72.78228,19.22533,block_1_2,0.1534,-0.0828,0.1452,0.6319,21.0,3.62,0.832,3.2,24.59,0.05,32.04,28.0,3.43,809.6,2.259,0.0,0.0,8.5,39.23
2023_Q1,2023,1,72.98595,18.93847,block_3_0,0.1509,-0.1046,0.1586,-0.4519,10.4,0.99,0.954,3.0,5.85,0.05,31.99,25.48,2.06,763.5,1.889,20.38,6.38,7.35,41.11
2023_Q1,2023,1,72.70551,19.07432,block_0_1,0.1931,-0.0769,0.1572,0.4891,10.2,4.47,0.907,4.47,12.55,0.05,32.3,29.09,3.6,764.3,2.026,0.0,0.0,20.16,38.13
2023_Q1,2023,1,72.73659,19.54115,block_1_4,0.1611,-0.1162,0.1879,0.4751,9.4,0.77,0.956,3.0,5.67,0.08,34.5,31.55,3.79,844.9,2.062,0.0,0.0,27.58,39.38
2023_Q1,2023,1,72.6371,18.84493,block_0_0,0.2071,-0.0752,0.1819,0.4285,10.7,2.51,0.825,9.04,23.46,0.069,35.37,31.45,3.07,758.3,2.152,0.0,0.0,38.02,41.28
2023_Q1,2023,1,73.0399,19.15761,block_3_2,0.177,-0.0858,0.1723,-0.4474,13.1,8.1,0.838,8.52,21.6,0.083,33.85,30.42,2.27,817.8,2.129,26.736,12.74,15.3,43.77
2023_Q1,2023,1,72.97683,19.43723,block_3_4,0.2134,-0.0542,0.1602,-0.4773,11.3,3.23,0.84,8.39,21.31,0.095,33.94,29.49,3.1,749.1,2.048,20.994,19.72,24.02,43.24
2023_Q1,2023,1,72.99766,19.06544,block_3_1,0.1779,0.0097,0.1733,-0.476,17.2,2.38,0.931,3.0,9.5,0.05,34.74,30.49,1.98,791.4,2.15,22.01,7.12,8.27,43.81
2023_Q1,2023,1,73.0367,19.17717,block_3_2,0.0521,-0.0148,0.1852,-0.3676,19.3,2.99,0.845,6.37,21.37,0.063,33.05,28.96,2.28,777.3,2.036,26.462,11.8,14.13,42.87
2023_Q1,2023,1,72.87042,19.53427,block_2_4,0.1349,-0.1439,0.1805,-0.44,14.3,2.11,0.88,6.18,16.04,0.098,32.68,28.81,3.41,745.5,1.952,10.127,10.13,27.03,39.87
2023_Q1,2023,1,72.92717,19.17364,block_2_2,0.2783,-0.0272,0.1878,-0.5448,252.9,20.34,0.839,6.43,22.3,0.096,32.1,25.98,2.62,802.9,1.952,14.95,4.86,5.45,39.68
2023_Q1,2023,1,72.70553,18.92713,block_0_0,0.191,-0.0744,0.1539,0.4956,9.4,1.83,0.882,7.92,15.18,0.081,31.57,26.52,3.39,849.3,2.033,0.0,0.0,27.92,38.0
2023_Q1,2023,1,72.69248,18.87037,block_0_0,0.191,-0.0221,0.1871,0.4314,2.7,1.84,0.877,6.56,16.44,0.057,33.51,29.95,3.38,814.1,2.032,0.0,0.0,31.56,39.64
2023_Q1,2023,1,72.97866,19.51088,block_3_4,0.1641,-0.0735,0.1693,-0.4145,17.9,6.85,0.874,5.35,17.32,0.057,30.55,28.06,2.46,800.3,1.658,21.419,21.42,30.0,39.46
2023_Q1,2023,1,72.87672,19.02381,block_2_1,0.1336,0.0429,0.1616,-0.3973,11.1,7.05,0.834,8.0,22.47,0.05,31.85,26.29,2.47,751.6,1.726,9.18,7.81,9.14,40.29
2023_Q1,2023,1,72.92536,19.19456,block_2_2,0.2537,-0.0559,0.1377,-0.5051,303.0,24.73,0.862,5.34,19.24,0.053,32.57,29.29,3.11,754.2,2.029,14.825,3.1,3.25,38.96
2023_Q1,2023,1,73.02857,18.89831,block_3_0,0.0901,-0.0435,0.1519,-0.4317,11.4,3.02,0.82,6.06,25.3,0.056,31.51,27.99,2.73,797.8,1.81,24.73,11.21,13.39,41.54
2023_Q1,2023,1,72.96126,19.13693,block_3_2,0.3128,-0.1019,0.1476,-0.5029,86.8,9.43,0.932,4.03,8.92,0.05,32.4,29.15,2.94,798.3,1.847,18.414,7.42,8.65,39.7
2023_Q1,2023,1,72.91933,19.49991,block_2_4,0.1809,-0.0545,0.2019,-0.4357,12.9,2.71,0.876,6.37,16.67,0.087,34.09,28.91,2.23,750.8,2.019,15.155,15.15,25.48,42.4
2023_Q1,2023,1,72.92224,19.19338,block_2_2,0.2011,-0.0766,0.1767,-0.4129,309.5,28.46,0.951,3.0,6.34,0.072,32.98,29.61,2.33,762.0,2.044,14.495,3.08,3.22,38.63
2023_Q1,2023,1,72.79035,19.52931,block_1_4,0.1326,0.0047,0.165,-0.428,13.5,3.11,0.836,4.79,23.36,0.067,33.01,29.67,3.42,734.0,1.848,1.704,1.7,25.47,40.31
2023_Q1,2023,1,72.64922,19.01881,block_0_1,0.2863,-0.0689,0.2022,0.4754,15.6,1.58,0.851,5.55,20.75,0.05,32.6,28.8,2.55,804.5,1.885,0.0,0.0,28.27,38.88
2023_Q1,2023,1,72.85895,19.19491,block_2_2,0.142,-0.0458,0.17,-0.421,128.6,10.72,0.782,13.17,28.51,0.149,34.02,29.36,3.02,716.2,2.31,7.854,4.86,5.45,42.04
2023_Q1,2023,1,72.74418,19.44933,block_1_4,0.2324,-0.1412,0.1799,0.4765,12.2,1.62,0.933,4.4,8.59,0.05,33.57,29.24,2.84,768.4,2.157,0.0,0.0,17.58,38.79
2023_Q1,2023,1,72.84439,19.15456,block_2_2,0.02,0.0377,0.1779,-0.3685,48.9,4.08,0.833,9.18,22.22,0.078,33.89,30.04,2.28,846.5,1.915,6.197,3.52,3.77,43.69
2023_Q1,2023,1,73.07425,19.03361,block_3_1,0.1587,-0.0059,0.1602,-0.4785,13.2,4.69,0.894,5.24,14.26,0.061,34.71,30.43,2.58,781.7,2.063,29.952,10.55,12.56,43.8
2023_Q1,2023,1,72.75418,19.44642,block_1_4,0.221,-0.0778,0.1833,0.4319,11.1,1.76,0.936,3.0,8.71,0.05,34.36,29.35,2.69,838.6,2.222,0.0,0.0,16.95,40.59
2023_Q1,2023,1,72.66343,19.11273,block_0_2,0.1247,-0.0039,0.161,0.4124,9.2,4.35,0.859,8.73,18.32,0.079,30.29,26.19,3.3,808.9,1.56,0.0,0.0,23.11,38.29
2023_Q1,2023,1,72.77869,19.21367,block_1_2,0.1898,-0.0201,0.1564,0.3705,16.8,1.6,0.895,6.43,13.64,0.05,33.4,28.74,3.58,716.7,1.773,0.0,0.0,9.84,39.73
2023_Q1,2023,1,72.785,19.53318,block_1_4,0.1978,-0.0338,0.1887,-0.479,14.7,7.39,0.836,8.09,22.06,0.081,33.38,29.16,3.14,782.6,2.096,1.154,1.15,25.93,39.62
2023_Q1,2023,1,72.97531,18.96695,block_3_1,0.1767,-0.073,0.1865,-0.4503,14.4,5.01,0.87,3.0,18.81,0.054,32.83,28.79,3.58,770.3,2.232,19.354,3.71,4.01,40.97
2023_Q1,2023,1,72.92112,19.04931,block_2_1,0.2295,-0.093,0.1756,-0.4334,19.2,1.67,0.923,3.15,10.61,0.05,34.94,30.16,2.47,729.7,2.52,13.923,5.96,6.83,42.41
2023_Q1,2023,1,73.03834,18.85557,block_3_0,0.197,-0.057,0.2161,-0.4779,13.4,1.87,0.869,8.19,16.96,0.061,32.36,29.64,2.88,775.3,2.014,25.621,14.92,18.02,40.22
2023_Q1,2023,1,72.97655,19.11413,block_3_2,0.1694,-0.0146,0.1679,-0.4038,44.0,5.69,0.849,7.19,20.47,0.105,33.92,30.56,2.49,755.2,2.231,19.947,9.21,10.89,42.86
2023_Q1,2023,1,72.84328,18.97677,block_2_1,0.1732,-0.0581,0.1921,-0.4098,7.8,2.52,0.807,10.63,25.55,0.108,32.33,28.34,3.16,732.2,1.925,5.521,5.52,12.52,39.21
2023_Q1,2023,1,73.0539,19.32068,block_3_3,0.1614,-0.0415,0.1592,-0.3737,14.7,1.85,0.872,3.0,18.48,0.05,33.54,30.81,1.86,780.1,1.908,28.72,15.53,18.79,43.66
